Name,Code,year,current gross exports,Sector
"Other","9",2015,"$431,392,605,880","Other"
"Other","9",2016,"$381,852,128,646","Other"
"Other","9",2017,"$411,241,231,998","Other"
"Other","9",2018,"$446,890,045,599","Other"
"Other","9",2019,"$427,138,411,868","Other"
"Other","9",2020,"$367,975,328,189","Other"
"Other","9",2021,"$419,038,031,078","Other"
"Other","9",2022,"$488,960,959,129","Other"
"Services","services",2000,"$422,086,354,088","Services"
"Services","services",2001,"$409,717,906,268","Services"
"Services","services",2002,"$420,578,488,092","Services"
"Services","services",2003,"$472,395,872,712","Services"
"Services","services",2004,"$561,668,126,746","Services"
"Services","services",2005,"$620,561,395,550","Services"
"Services","services",2006,"$687,451,144,508","Services"
"Services","services",2007,"$773,244,519,088","Services"
"Services","services",2008,"$802,702,207,514","Services"
"Services","services",2009,"$641,040,285,585","Services"
"Services","services",2010,"$699,446,150,197","Services"
"Services","services",2011,"$837,277,472,703","Services"
"Services","services",2012,"$819,890,332,504","Services"
"Services","services",2013,"$892,097,930,264","Services"
"Services","services",2014,"$884,570,324,833","Services"
"Services","services",2015,"$817,512,527,544","Services"
"Services","services",2016,"$754,980,437,094","Services"
"Services","services",2017,"$802,445,588,094","Services"
"Services","services",2018,"$881,191,354,527","Services"
"Services","services",2019,"$859,044,535,644","Services"
"Services","services",2020,"$766,531,604,105","Services"
"Services","services",2021,"$892,916,618,470","Services"
"Services","services",2022,"$995,545,790,604","Services"
